00000096.jpg,407.6788,63.204617,-93.5378,414.96725,50.046078,-57.21999,419.18674,50.26051,-57.248783,424.048,50.692238,-57.131004,399.21014,50.499935,-62.375282,394.3103,50.972218,-62.36409,388.89545,51.58717,-62.162113,430.5419,60.728107,101.33014,382.0724,60.867107,77.399864,417.10104,79.178986,-37.792862,397.8504,80.44149,-44.508095,470.95938,149.21121,132.10097,345.37958,154.0345,89.950386,517.49774,220.70474,-25.91318,295.40063,226.28749,-69.987274,426.91373,211.10106,-207.07724,392.6961,211.42961,-215.595,412.78485,187.12743,-248.22739,406.13803,188.39616,-250.19191,412.8923,184.22745,-215.04088,404.59262,186.36742,-228.9578,414.86407,194.41632,-197.74947,402.1363,196.92148,-207.15608,451.3208,320.22687,4.1662717,368.4925,318.78354,-4.071779,577.2726,373.92624,-252.48264,247.69955,381.15283,-270.07715,556.3936,493.69406,71.60353,255.68895,497.9048,36.090557,540.3124,513.3861,100.41754,270.82755,519.3104,63.697475,611.65314,528.989,-0.9848088,200.31195,536.33575,-47.228287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000097.jpg,263.78992,74.27127,-95.98906,269.47946,67.131165,-87.025345,272.10663,67.05121,-87.03477,274.86053,67.120804,-86.96498,264.19275,67.09515,-77.90022,262.95178,66.886955,-77.90015,261.8583,66.712036,-77.81524,283.79294,71.51008,-33.153893,267.26425,69.53341,6.684638,269.97305,81.7465,-76.50878,264.05106,80.827736,-64.995,305.14832,108.35079,-37.188114,253.88133,114.61267,50.950104,296.85135,157.62408,-101.27538,222.563,162.22684,-51.927788,257.52945,130.90924,-147.06152,248.49524,130.91519,-190.01968,249.46718,118.84297,-163.50908,247.9533,116.114746,-208.3926,254.20625,116.23697,-154.24303,252.96587,114.48057,-191.292,257.66736,120.59314,-143.9243,254.89285,120.042206,-185.90579,313.27835,195.67407,-23.440031,276.16544,197.39221,23.52457,353.34952,209.2394,-251.64902,210.60234,206.2265,-119.3741,363.0867,293.60553,-200.50047,227.4802,275.1187,-40.821342,356.53946,303.84625,-195.70694,236.95992,286.77313,-33.30963,378.5949,317.7834,-273.95087,198.4166,290.2187,-84.53159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000100.jpg,458.84714,379.58502,-118.6948,442.8677,370.8166,-101.856384,441.06537,371.4552,-101.867355,439.1579,372.30685,-101.89157,442.56628,372.44586,-126.1111,440.55707,374.13525,-126.18373,438.3212,376.06473,-126.17343,425.59113,391.59967,-5.4518256,422.50714,394.79736,-118.40457,462.26288,398.66003,-82.40411,460.93503,399.59015,-114.5414,494.1352,439.34854,15.240611,394.54736,518.04565,-75.72751,513.1901,536.23865,122.82313,396.63367,628.1061,-38.523712,544.7236,607.81384,186.39201,434.35043,687.7523,1.2025795,549.7778,619.74194,184.65585,441.51013,707.3885,-4.2720766,550.9884,618.99835,158.65509,453.7582,695.12305,-22.085926,546.02686,619.93823,175.21773,453.07733,687.10333,-3.983469,599.3877,642.2569,-2.8205523,512.67957,658.2377,2.8419566,755.452,683.9557,-152.3192,350.9895,687.51575,-179.92928,737.9139,840.49634,7.6159596,362.40405,838.1625,-57.401752,722.4208,867.3766,21.06154,383.12396,867.5037,-49.174557,789.689,882.41345,-57.83655,299.61758,882.1002,-119.84868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000101.jpg,872.0813,141.5879,-630.78094,887.88586,113.48585,-570.08386,899.3243,113.74674,-570.156,912.0544,114.13583,-570.08484,851.9379,113.24826,-563.35565,839.12225,113.68217,-563.3234,826.6449,114.56973,-562.5926,926.34814,131.46654,-236.91893,808.4064,133.24704,-209.2661,894.63043,176.85199,-511.44238,849.55206,177.28616,-503.35153,1014.9074,318.93613,-80.283424,727.12335,317.70532,-20.57441,1168.6259,506.5961,-411.44064,581.47815,477.7702,-368.9995,1160.0084,301.8367,-833.53674,559.26245,295.3732,-899.52637,1154.2594,245.66307,-897.5231,567.27454,239.72061,-967.78876,1134.6244,226.74397,-841.35266,591.6251,226.57048,-927.0558,1125.9746,254.04155,-818.05865,599.7511,246.77614,-894.7064,968.677,681.5711,-5.062715,794.9401,685.3523,5.4824653,1218.7085,716.0635,-833.21783,516.6426,707.4288,-753.4212,1150.2941,985.95325,-211.90573,639.0985,954.9479,-110.372604,1111.6614,1028.7732,-158.39888,675.6218,998.74805,-51.446747,1234.2969,1080.1664,-423.69968,516.03455,1027.979,-290.42194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000102.jpg,379.4342,126.251015,-205.2142,384.65936,118.81683,-185.93289,388.30045,118.613396,-185.97273,391.5275,118.52457,-185.9393,374.11917,118.81941,-184.96298,370.51782,118.91351,-184.9603,366.35086,119.10399,-184.82062,396.17963,121.57627,-83.68027,362.9102,121.705315,-77.81035,386.121,135.28264,-168.544,372.79755,135.24472,-167.04352,425.96164,167.06137,-18.284204,334.94333,167.87344,-24.345125,494.45224,167.69511,-39.009922,265.2199,177.25954,-28.328815,514.8676,111.50274,-95.48443,249.23807,121.42679,-108.481155,522.6559,97.94157,-111.99666,241.06274,104.13189,-126.213135,517.82336,93.56186,-113.438705,245.45699,99.36127,-140.94931,512.9713,98.274345,-100.4378,251.34184,104.66162,-118.28436,410.9027,282.47888,-2.4236636,350.84348,284.02866,2.5093212,500.09668,297.1794,-184.18057,265.6501,300.49036,-220.78159,501.11328,396.62366,-84.652664,245.78703,395.7415,-106.54168,491.3188,413.27057,-79.45794,254.21199,414.1065,-99.186646,536.3604,419.93005,-181.11261,208.43477,417.8798,-199.11852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000103.png,436.69553,314.7562,-253.80779,453.43637,292.0183,-238.2897,462.11343,291.31573,-238.3948,471.96295,290.97537,-238.27258,436.71725,292.77094,-205.1186,434.11792,292.42636,-205.23569,431.2018,292.11133,-205.08144,500.13086,302.1153,-113.566864,443.1953,302.22748,37.419327,456.93396,337.96124,-207.69376,436.55154,336.26157,-164.17982,575.28534,434.18472,-104.3083,396.67874,450.7664,167.06912,548.8949,594.71967,-171.15923,294.95813,601.3225,-6.0971184,419.1879,563.8355,-186.6728,409.67926,565.5926,-320.1291,396.3373,540.38794,-223.3845,426.85504,544.0105,-380.38733,406.8773,525.651,-208.9863,431.1785,530.35547,-343.1117,414.54578,534.1784,-176.39522,427.18164,537.46533,-310.99933,541.86273,742.663,-91.799194,421.93512,741.1807,92.13959,578.52466,809.7091,-790.75684,195.49278,780.63495,-349.96307,547.08026,1080.7789,-641.4617,192.54507,1030.2893,-175.29266,531.83997,1116.5037,-628.4444,212.40913,1075.1628,-162.90472,566.0227,1149.9193,-896.1816,88.81074,1075.0643,-376.46692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000104.jpeg,224.53596,172.0657,-122.26746,227.31009,165.89856,-104.75966,230.21658,165.80519,-104.780235,231.90515,165.903,-104.73065,220.14772,166.12764,-105.59084,217.7917,166.13802,-105.581635,215.17265,166.08925,-105.451256,234.543,168.14598,-21.84344,211.05089,168.75986,-25.386393,229.22566,179.05148,-93.36322,220.26363,179.41951,-94.53291,255.36877,203.57365,22.387115,189.00632,205.17978,7.834009,301.81012,209.80597,-8.573102,143.13106,210.06572,-7.363186,314.89267,169.52834,-65.17631,136.42126,167.60294,-54.501225,316.81296,157.18503,-79.10715,132.46304,156.36525,-67.4865,311.94577,155.7714,-72.69834,138.08542,153.96503,-68.206116,309.94186,160.96901,-65.94934,141.91054,158.30247,-57.205162,247.05913,295.02475,-0.51564693,204.78252,295.36774,0.58902967,308.62878,313.68494,-139.52087,141.82172,309.85373,-162.15504,312.0062,377.05765,-14.486148,137.01787,377.33875,-36.161556,305.80087,387.34897,-5.2624655,142.95264,389.01086,-26.154673,336.57632,395.18463,-69.9488,113.374435,395.41827,-89.48455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000105.jpg,646.45654,181.04724,-229.15555,658.1933,168.10638,-181.64265,666.6574,168.51553,-181.71092,672.60986,169.24582,-181.5958,637.04785,168.93103,-180.91016,630.38025,169.95558,-180.95341,622.74634,170.90991,-180.76749,687.2359,182.55682,39.21966,618.51294,182.6178,39.718792,660.60614,204.17657,-150.37584,635.4113,205.15158,-150.18694,737.3112,290.43497,91.79302,572.38184,293.42596,106.69568,789.2595,404.72308,-139.83754,515.7805,400.88293,-116.041214,670.20435,382.22482,-468.87393,631.0881,379.033,-410.18982,652.5543,349.4049,-541.52856,643.56415,347.11026,-469.38474,655.26086,340.79773,-501.08157,642.4987,340.061,-441.8774,657.72565,354.3853,-458.84875,639.7183,353.6567,-401.90665,718.3348,523.3181,-15.385346,606.99,525.92194,15.2670145,875.7634,613.375,-388.55536,435.7603,607.5702,-358.82523,900.5876,809.64484,-105.31623,404.00098,802.28546,-95.80149,880.51733,845.5978,-82.200356,420.10474,838.7213,-76.05691,986.29034,847.8482,-259.73355,312.19492,848.47394,-259.2609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000106.jpg,288.15897,100.5694,-111.09141,291.42706,96.178116,-94.73912,293.50778,96.10806,-94.774895,295.8332,96.119026,-94.72626,285.1094,96.55422,-95.08323,282.50385,96.78499,-95.067184,280.4823,97.01238,-94.97633,298.93567,98.3033,-18.189941,277.0201,99.884605,-19.228846,292.5695,107.49229,-84.4569,284.27377,108.17124,-84.90425,316.72986,132.08427,22.700884,261.0135,134.26422,9.430405,362.98154,127.84199,0.25851455,213.79333,130.98618,-6.164996,368.9212,87.755325,-36.823208,200.39207,93.89314,-52.55025,372.05817,76.9858,-48.546066,197.21439,83.6365,-67.545265,367.1669,74.326866,-45.75437,200.37605,80.02724,-69.15265,364.9682,79.07047,-38.982803,202.82222,84.35036,-56.348377,307.70996,218.53186,-0.93768084,269.9775,216.94905,1.0070928,369.40887,241.73656,-103.20541,205.90378,239.21931,-113.65592,377.03314,304.87778,11.820713,198.69595,304.04135,-1.3189346,371.26312,314.57208,20.139801,204.3276,314.8046,7.16427,403.7027,318.39536,-34.709,169.99002,316.43942,-46.141068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000107.jpg,172.40277,37.73317,-96.55449,171.07501,30.343742,-77.96937,171.9414,30.199615,-78.01519,172.74805,30.096064,-77.97194,167.22568,30.85654,-88.67206,164.84036,31.03066,-88.72293,162.10127,31.23006,-88.64502,166.3214,32.55496,3.4108112,153.46571,34.234364,-45.51468,172.81763,43.967216,-67.859764,166.7482,44.359127,-81.95975,178.79199,68.5911,51.70228,132.39963,69.59718,-61.554237,215.73167,79.73987,129.71387,102.21989,80.94532,-193.4265,239.29008,54.785828,198.81018,79.79315,47.300453,-348.1612,247.39082,44.642944,216.18858,71.04802,36.801716,-373.85388,244.79265,42.325,206.17424,71.858734,30.997017,-379.9553,240.8086,46.66313,195.89001,76.628525,35.582413,-356.3545,165.92712,152.84975,28.232311,134.98445,152.59256,-28.183018,219.6766,172.50221,-93.316895,95.24589,179.0879,-191.30225,210.11197,237.05391,-39.268963,91.12938,251.65678,-135.6917,201.70853,249.30132,-37.435318,96.981186,263.18134,-132.11673,238.24689,248.87132,-98.490074,70.68398,265.96182,-202.44215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000108.jpg,285.56305,49.18016,-262.7421,290.14816,40.01462,-241.38336,292.95053,40.341248,-241.47186,295.8626,40.62158,-241.4959,279.32248,39.792564,-243.37965,275.36972,40.034515,-243.37102,271.37375,40.32731,-243.2846,298.34882,46.385143,-126.8087,264.29312,45.73056,-134.90338,290.79865,59.28645,-221.2589,277.64825,59.51439,-223.62408,322.01657,106.496635,-59.524662,232.2636,104.86807,-61.537823,338.75992,171.53325,-37.954548,213.48062,170.72609,-42.919586,393.68152,209.3404,-149.47374,170.44374,204.47227,-147.57018,409.98505,217.84673,-171.37428,155.61191,212.85753,-169.4684,414.10156,211.14873,-206.0553,152.36797,208.20758,-205.87666,407.58887,208.46748,-166.17633,158.97366,205.24075,-165.57071,300.6192,221.27182,1.1396372,242.97801,220.83315,-1.0975083,391.65784,235.10594,-278.62122,168.86993,233.59474,-304.83597,384.8944,333.46786,-91.355576,163.71623,335.87363,-117.766945,373.11285,344.2686,-77.58467,173.29356,345.65833,-103.28994,396.61218,370.89087,-199.45245,152.576,373.1483,-226.88123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
